date,open,high,low,close,MA,MA,Volume,Volume MA,OnBalanceVolume,RSI
2019-08-12T00:00:00Z,216.21,216.47,209.51,211.26,NaN,249.697,63007.75987,86875.3377,6952296.168,41.92584008
2019-08-13T00:00:00Z,211.28,211.28,202.8,208.58,NaN,247.6486,84753.28154,83004.98021,6867542.886,40.63389384
2019-08-14T00:00:00Z,208.49,209.13,181.6,186.3,NaN,245.0428,179928.562,86764.27041,6687614.324,31.84762011
2019-08-15T00:00:00Z,186.3,191.47,171,188.2,NaN,242.1096,175478.799,91774.88881,6863093.123,33.17464977
2019-08-16T00:00:00Z,188.2,188.21,178.47,185.26,NaN,239.9454,68769.97131,88682.34155,6794323.152,32.13205273
2019-08-17T00:00:00Z,185.25,186.9,181.57,185.59,NaN,237.4698,38299.78894,86497.93209,6832622.941,32.38890264
2019-08-18T00:00:00Z,185.59,198.17,183.31,194.74,183.4198,235.0246,66730.99543,85174.86858,6899353.936,39.25368083
2019-08-19T00:00:00Z,194.74,203.91,193,202.32,NaN,233.2696,66346.49857,85702.88179,6965700.435,44.29916689
2019-08-20T00:00:00Z,202.32,202.81,194.52,196.56,NaN,231.3268,62215.8582,85535.57389,6903484.577,41.47976315
2019-08-21T00:00:00Z,196.56,197.17,180,187.37,NaN,229.2492,105456.814,87631.3082,6798027.763,37.39087651
2019-08-22T00:00:00Z,187.29,195.11,182.53,190.41,NaN,227.0216,77023.08195,87634.64944,6875050.845,39.51490305
2019-08-23T00:00:00Z,190.42,196.66,188.56,194.59,NaN,225.2574,85533.20912,88289.34623,6960584.054,42.40805626
2019-08-24T00:00:00Z,194.55,194.59,186.02,190.89,NaN,223.3152,43117.73327,88342.23942,6917466.321,40.55871376
2019-08-25T00:00:00Z,190.9,192.76,182.04,186.59,183.2334,221.2956,42924.73096,84378.46324,6874541.59,38.45964956
2019-08-26T00:00:00Z,186.6,194.28,185.51,188.3,NaN,218.9348,69639.15543,82040.09561,6944180.745,39.79407141
2019-08-27T00:00:00Z,188.26,189,184.33,186.94,NaN,216.4088,42652.00986,79657.95346,6901528.735,39.06848813
2019-08-28T00:00:00Z,186.95,187.92,165.9,172.79,NaN,213.7062,115048.0369,80297.95059,6786480.698,32.44079242
2019-08-29T00:00:00Z,172.81,173.51,163.57,168.82,NaN,211.3098,94511.92063,80687.2568,6691968.778,30.85904482
2019-08-30T00:00:00Z,168.92,170.43,165.3,168.4,NaN,209.3042,60991.5771,79817.49948,6630977.201,30.68856781
2019-08-31T00:00:00Z,168.45,175,165.5,171.93,NaN,207.2318,38474.88779,79045.23359,6669452.088,33.98928182
2019-09-01T00:00:00Z,171.89,173.98,168.03,171.29,182.2554,205.2768,41984.89671,77994.09043,6627467.192,33.67615842
2019-09-02T00:00:00Z,171.31,181.78,170.54,178.8,NaN,204.3376,60890.7871,76800.96571,6688357.979,40.59225779
2019-09-03T00:00:00Z,178.81,183.15,174.2,178.96,NaN,203.3512,76512.21157,71630.14819,6764870.19,40.73405298
2019-09-04T00:00:00Z,179.09,180.33,173.29,174.82,NaN,202.8698,58944.59772,65803.43813,6705925.593,38.19380327
2019-09-05T00:00:00Z,174.83,175.82,168.82,174,NaN,202.1218,54459.54143,65087.91663,6651466.051,37.69241868
2019-09-06T00:00:00Z,174.01,178.45,164.99,169.2,NaN,200.9796,79408.29622,67143.342,6572057.755,34.81161097
2019-09-07T00:00:00Z,169.25,181.07,168.38,178.08,NaN,200.117,59067.84097,66760.18427,6631125.596,43.42615632
2019-09-08T00:00:00Z,178.08,184.73,176.01,181.56,180.9996,199.1704,74954.62066,67190.59038,6706080.217,46.41469435
2019-09-09T00:00:00Z,181.56,186,176.11,180.63,NaN,198.2702,65713.86567,67365.49075,6640366.351,45.71961552
2019-09-10T00:00:00Z,180.64,184.55,176.6,179.64,NaN,197.5204,46977.60689,64441.5304,6593388.744,44.94795649
2019-09-11T00:00:00Z,179.65,182.49,173.7,178.3,NaN,196.8478,59154.8714,63548.11987,6534233.873,43.8686824
2019-09-12T00:00:00Z,178.31,182.66,176.46,181.09,NaN,196.1378,32447.49282,60893.83406,6566681.365,46.73640015
2019-09-13T00:00:00Z,181.05,181.85,177.57,181.65,NaN,195.3852,51330.33791,61304.46429,6618011.703,47.31818234
2019-09-14T00:00:00Z,181.65,189.32,180.4,188.85,NaN,194.7752,59593.52026,62137.90375,6677605.224,54.23896072
2019-09-15T00:00:00Z,188.88,190.99,186.3,189.3,180.1402,194.419,69949.07363,62153.39966,6747554.297,54.64004121
2019-09-16T00:00:00Z,189.31,199.55,188.23,197.59,NaN,194.1408,112064.0662,65624.00248,6859618.363,61.35911524
2019-09-17T00:00:00Z,197.59,215,195.67,207.95,NaN,194.0852,180309.5639,68887.07883,7039927.927,67.78193996
2019-09-18T00:00:00Z,207.95,217.49,207.5,210.27,NaN,194.094,111866.0967,69754.78763,7151794.024,69.02365541
2019-09-19T00:00:00Z,210.28,224.71,200.98,220.8,NaN,194.136,167317.1698,75071.06727,7319111.194,73.93409696
2019-09-20T00:00:00Z,220.85,222.38,212,218.06,NaN,194.1462,91581.95642,77726.4207,7227529.237,70.78949232
2019-09-21T00:00:00Z,218.02,221.61,213.35,214.8,NaN,194.0862,65798.84958,78917.11834,7161730.388,67.13104818
2019-09-22T00:00:00Z,214.87,215.45,206.02,211.1,179.8658,193.8654,64814.30844,79113.29441,7096916.079,63.14247091
2019-09-23T00:00:00Z,211.17,211.6,198.18,200.8,NaN,193.4252,92705.01343,79922.9345,7004211.066,53.59591993
2019-09-24T00:00:00Z,201.06,202.72,157.75,166.26,NaN,192.0904,405426.9625,97247.05274,6598784.104,34.6674189
2019-09-25T00:00:00Z,166.26,175.25,162.25,170,NaN,190.9742,183524.3886,103700.2951,6782308.492,37.25158946
2019-09-26T00:00:00Z,170,171,152.11,165.85,NaN,189.7752,188006.8643,109130.2235,6594301.628,35.57030897
2019-09-27T00:00:00Z,165.85,177.24,161.19,174.44,NaN,188.8478,109651.9309,111659.428,6703953.559,41.45981914
2019-09-28T00:00:00Z,174.36,176,168.21,173.9,NaN,188.1198,75406.28665,111682.0113,6628547.272,41.20482717
2019-09-29T00:00:00Z,173.9,175.26,164.34,169.38,179.416,187.3854,72173.9887,112005.0174,6556373.283,39.04040123
2019-09-30T00:00:00Z,169.39,181.85,165.2,181.17,NaN,186.6876,126949.582,116003.6162,6683322.865,46.87872468
2019-10-01T00:00:00Z,181.22,185.89,173.85,176.15,NaN,185.9854,97883.40185,117940.0427,6585439.464,44.26865556
2019-10-02T00:00:00Z,176.14,181.66,174.15,180.82,NaN,185.4302,73543.39326,119994.8377,6658982.857,47.21307985
